question_en,question_hi,question_mr,intent,answer_en,answer_hi,answer_mr
Tell me eligibility criteria for this year?,बताइए पात्रता मानदंड for this year?,मला सांगू पात्रता निकष for this year?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
When are admission dates for this year?,कब हैं प्रवेश तिथियाँ for this year?,केव्हा आहेत प्रवेश तारखा for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
When are fee deadline please?,कब हैं फीस की अंतिम तिथि please?,केव्हा आहेत फीची अंतिम तारीख please?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Show me fee refund for this year?,मुझे दिखाइए फीस रिफंड for this year?,मला दाखवा फी परतावा for this year?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Show me timetable portal for students?,मुझे दिखाइए टाइमटेबल पोर्टल for students?,मला दाखवा वेळापत्रक पोर्टल for students?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Who handles documents required?,कौन संभालता है आवश्यक दस्तावेज़?,कोण सांभाळतो आवश्यक कागदपत्रे?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Do you have exam result date?,क्या आपके पास है परीक्षा परिणाम तिथि?,तुमच्याकडे आहे का परीक्षा निकाल तारीख?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Where can I timetable pdf?,कहाँ मैं टाइमटेबल पीडीएफ?,मी कुठे वेळापत्रक PDF?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
When are late fee for students?,कब हैं लेट फीस for students?,केव्हा आहेत लेट फी for students?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Where can I download marksheet?,कहाँ मैं मार्कशीट डाउनलोड करें?,मी कुठे मार्कशीट डाउनलोड करा?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Tell me exam result date?,बताइए परीक्षा परिणाम तिथि?,मला सांगू परीक्षा निकाल तारीख?,exam,The exam schedule is released before each semester. Look at the academic calendar.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
What is result portal for this year?,क्या है परिणाम पोर्टल for this year?,काय आहे निकाल पोर्टल for this year?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
How to timetable changes please?,कैसे समय सारणी में बदलाव please?,कसे वेळापत्रक बदल please?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Show me how to apply for students?,मुझे दिखाइए कैसे आवेदन करें for students?,मला दाखवा कसे अर्ज करावे for students?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Is there download marksheet for students?,क्या वहाँ है मार्कशीट डाउनलोड करें for students?,आहे का मार्कशीट डाउनलोड करा for students?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Where can I check results?,कहाँ मैं परिणाम देखो?,मी कुठे निकाल तपासा?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Who handles check results for students?,कौन संभालता है परिणाम देखो for students?,कोण सांभाळतो निकाल तपासा for students?,results,"For revaluation, follow the procedure available on the examination page.",परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Show me documents required for students?,मुझे दिखाइए आवश्यक दस्तावेज़ for students?,मला दाखवा आवश्यक कागदपत्रे for students?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Tell me download marksheet?,बताइए मार्कशीट डाउनलोड करें?,मला सांगू मार्कशीट डाउनलोड करा?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Tell me show timetable please?,बताइए समय सारणी दिखाओ please?,मला सांगू वेळापत्रक दाखवा please?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
How to marks sheet for this year?,कैसे मार्कशीट for this year?,कसे मार्कशीट for this year?,results,"For revaluation, follow the procedure available on the examination page.",परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Is there entrance exam for this year?,क्या वहाँ है प्रवेश परीक्षा for this year?,आहे का प्रवेश परीक्षा for this year?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Tell me class timetable for this year?,बताइए क्लास टाइमटेबल for this year?,मला सांगू क्लास वेळापत्रक for this year?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Tell me pass percentage?,बताइए पास प्रतिशत?,मला सांगू पास टक्केवारी?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Who handles grade card for this year?,कौन संभालता है ग्रेड कार्ड for this year?,कोण सांभाळतो ग्रेड कार्ड for this year?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Where can I scholarship?,कहाँ मैं छात्रवृत्ति?,मी कुठे शिष्यवृत्ती?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Where can I exam schedule please?,कहाँ मैं परीक्षा समय सारणी please?,मी कुठे परीक्षा वेळापत्रक please?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
How to timetable portal?,कैसे टाइमटेबल पोर्टल?,कसे वेळापत्रक पोर्टल?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have revaluation?,क्या आपके पास है पुनर्मूल्यांकन?,तुमच्याकडे आहे का पुनर्मूल्यांकन?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Is there exam schedule please?,क्या वहाँ है परीक्षा समय सारणी please?,आहे का परीक्षा वेळापत्रक please?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Do you have exam pattern for students?,क्या आपके पास है परीक्षा पैटर्न for students?,तुमच्याकडे आहे का परीक्षा नमुना for students?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Tell me how to apply?,बताइए कैसे आवेदन करें?,मला सांगू कसे अर्ज करावे?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Who handles merit list?,कौन संभालता है मेरिट सूची?,कोण सांभाळतो मेरिट यादी?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Who handles fee refund please?,कौन संभालता है फीस रिफंड please?,कोण सांभाळतो फी परतावा please?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Tell me update timetable?,बताइए समय सारणी अपडेट?,मला सांगू वेळापत्रक अपडेट?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
What is tuition fees?,क्या है शिक्षण शुल्क?,काय आहे शिक्षण फी?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Who handles how to apply?,कौन संभालता है कैसे आवेदन करें?,कोण सांभाळतो कसे अर्ज करावे?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
How to fee deadline for this year?,कैसे फीस की अंतिम तिथि for this year?,कसे फीची अंतिम तारीख for this year?,fees,Fees can be paid online via the portal or at the accounts office.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Tell me application deadline for students?,बताइए आवेदन की अंतिम तिथि for students?,मला सांगू अर्जाची अंतिम तारीख for students?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Where can I exam syllabus for students?,कहाँ मैं परीक्षा पाठ्यक्रम for students?,मी कुठे परीक्षा अभ्यासक्रम for students?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
What is eligibility criteria please?,क्या है पात्रता मानदंड please?,काय आहे पात्रता निकष please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Is there class timetable please?,क्या वहाँ है क्लास टाइमटेबल please?,आहे का क्लास वेळापत्रक please?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have class timetable for this year?,क्या आपके पास है क्लास टाइमटेबल for this year?,तुमच्याकडे आहे का क्लास वेळापत्रक for this year?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have show timetable for students?,क्या आपके पास है समय सारणी दिखाओ for students?,तुमच्याकडे आहे का वेळापत्रक दाखवा for students?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
How to exam registration for students?,कैसे परीक्षा पंजीकरण for students?,कसे परीक्षा नोंदणी for students?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Who handles exam timetable please?,कौन संभालता है परीक्षा समय सारणी please?,कोण सांभाळतो परीक्षा वेळापत्रक please?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Where can I download marksheet for students?,कहाँ मैं मार्कशीट डाउनलोड करें for students?,मी कुठे मार्कशीट डाउनलोड करा for students?,results,"For revaluation, follow the procedure available on the examination page.",परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
How to tuition fees?,कैसे शिक्षण शुल्क?,कसे शिक्षण फी?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
How to download timetable?,कैसे टाइमटेबल डाउनलोड?,कसे वेळापत्रक डाउनलोड?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Is there exam timetable?,क्या वहाँ है परीक्षा समय सारणी?,आहे का परीक्षा वेळापत्रक?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Show me exam dates?,मुझे दिखाइए परीक्षा की तिथियां?,मला दाखवा परीक्षेच्या तारखा?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Tell me exam registration?,बताइए परीक्षा पंजीकरण?,मला सांगू परीक्षा नोंदणी?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
How to fee deadline?,कैसे फीस की अंतिम तिथि?,कसे फीची अंतिम तारीख?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Where can I admission process for this year?,कहाँ मैं प्रवेश प्रक्रिया for this year?,मी कुठे प्रवेश प्रक्रिया for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Can I download marksheet for students?,क्या मैं मार्कशीट डाउनलोड करें for students?,मी करू शकतो का मार्कशीट डाउनलोड करा for students?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Show me pass percentage for this year?,मुझे दिखाइए पास प्रतिशत for this year?,मला दाखवा पास टक्केवारी for this year?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Where can I exam schedule for students?,कहाँ मैं परीक्षा समय सारणी for students?,मी कुठे परीक्षा वेळापत्रक for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Can I timetable pdf for students?,क्या मैं टाइमटेबल पीडीएफ for students?,मी करू शकतो का वेळापत्रक PDF for students?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Tell me pass percentage for students?,बताइए पास प्रतिशत for students?,मला सांगू पास टक्केवारी for students?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Who handles entrance exam?,कौन संभालता है प्रवेश परीक्षा?,कोण सांभाळतो प्रवेश परीक्षा?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Is there late fee?,क्या वहाँ है लेट फीस?,आहे का लेट फी?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Tell me scholarship please?,बताइए छात्रवृत्ति please?,मला सांगू शिष्यवृत्ती please?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Show me exam dates for this year?,मुझे दिखाइए परीक्षा की तिथियां for this year?,मला दाखवा परीक्षेच्या तारखा for this year?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
How to merit list for this year?,कैसे मेरिट सूची for this year?,कसे मेरिट यादी for this year?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Can I fee receipt?,क्या मैं फीस रसीद?,मी करू शकतो का फी पावती?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Can I result portal for this year?,क्या मैं परिणाम पोर्टल for this year?,मी करू शकतो का निकाल पोर्टल for this year?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Tell me exam timetable please?,बताइए परीक्षा समय सारणी please?,मला सांगू परीक्षा वेळापत्रक please?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
